dataset,lambda,winner,margin
CICIDS2017,0.50,LightGBM,0.030852
CICIDS2017,0.60,LightGBM,0.030853
CICIDS2017,0.70,LightGBM,0.030855
CICIDS2017,0.80,LightGBM,0.030856
CICIDS2017,0.90,LightGBM,0.030857
NSL-KDD,0.50,XGBoost,0.086350
NSL-KDD,0.60,XGBoost,0.085812
NSL-KDD,0.70,XGBoost,0.085263
NSL-KDD,0.80,XGBoost,0.084701
NSL-KDD,0.90,XGBoost,0.084128
UNSW-NB15,0.50,XGBoost,0.043776
UNSW-NB15,0.60,XGBoost,0.044049
UNSW-NB15,0.70,XGBoost,0.044316
UNSW-NB15,0.80,XGBoost,0.044578
UNSW-NB15,0.90,XGBoost,0.044833
