dataset,model,seed,train_rows,test_rows,accuracy,precision,recall,f1,roc_auc,pr_auc,runtime_sec
NSL-KDD,LightGBM,1,100778,22544,0.7724893541518808,0.9665697674418605,0.621834333359308,0.756792640713168,0.9663464291803878,0.9698745557037829,8.310547828674316
NSL-KDD,XGBoost,1,100778,22544,0.7933374733853797,0.968907755851308,0.6580690407543053,0.7837950716970625,0.9684956370567357,0.9704287428261297,24.369332790374756
NSL-KDD,LightGBM,2,100778,22544,0.7705819730305181,0.9663947400462681,0.6184835969765449,0.7542525895657132,0.9678700696525601,0.9711034901593193,20.300965547561646
NSL-KDD,XGBoost,2,100778,22544,0.7835344215755855,0.9676584734799483,0.6411595106366399,0.771278590176228,0.9713136513469615,0.9734947301488889,12.86167597770691
NSL-KDD,LightGBM,3,100778,22544,0.7789655784244145,0.9671506784099024,0.6332112522403179,0.7653402401695314,0.9658079536555492,0.9695155966428979,10.066843032836914
NSL-KDD,XGBoost,3,100778,22544,0.7895227111426544,0.9685979142526072,0.6513675679887789,0.7789218655360388,0.9677792785650071,0.9698686736910013,11.472538471221924
NSL-KDD,LightGBM,4,100778,22544,0.7745298083747338,0.9665302191187094,0.6255746902516949,0.7595439708595487,0.9695320532901355,0.9719136797965869,8.992214679718018
NSL-KDD,XGBoost,4,100778,22544,0.7830908445706175,0.9676203932650418,0.6403802696173927,0.770702428959955,0.9678344457157364,0.9691617335305152,11.787613153457642
NSL-KDD,LightGBM,5,100778,22544,0.7798083747338538,0.9672247951549697,0.6346918101768877,0.7664439634892256,0.9688215445224624,0.9720569913077298,9.455168962478638
NSL-KDD,XGBoost,5,100778,22544,0.788014549325763,0.968146942571495,0.6489519208291125,0.7770468859342198,0.9700378538131169,0.9721177693126557,14.092635154724121
NSL-KDD,LightGBM,6,100778,22544,0.7762154009936125,0.9667945336849676,0.6284578820229096,0.7617473435655254,0.9677972048798766,0.9707472004902085,11.13475751876831
NSL-KDD,XGBoost,6,100778,22544,0.7902324343506033,0.96833102172908,0.6528481259253487,0.7798929485687689,0.969692138331161,0.9722180886015219,11.981338739395142
NSL-KDD,LightGBM,7,100778,22544,0.7759492547906317,0.9668826493880489,0.6279124133094366,0.761373836632494,0.9701889877331767,0.9725197501358951,7.3853137493133545
NSL-KDD,XGBoost,7,100778,22544,0.7896557842441447,0.968391802709274,0.6517571884984026,0.7791336748952026,0.9688281726048626,0.9707386938779125,11.996556758880615
NSL-KDD,LightGBM,8,100778,22544,0.7796753016323634,0.967324144486692,0.6343801137691888,0.7662478234269848,0.9668173078939185,0.9700583664259171,7.649631023406982
NSL-KDD,XGBoost,8,100778,22544,0.7834013484740951,0.9679773958088063,0.6406919660250916,0.7710414029164908,0.9688347003833528,0.9709905983644231,11.840172290802002
NSL-KDD,LightGBM,9,100778,22544,0.7803850248403122,0.9672753142044107,0.6357048235019092,0.7671980063008417,0.9666272159350526,0.9697033021094138,8.230801105499268
NSL-KDD,XGBoost,9,100778,22544,0.7880589070262598,0.968150645123794,0.6490298449310372,0.7771039373017354,0.970952023652657,0.9727183058908301,13.430284976959229
NSL-KDD,LightGBM,10,100778,22544,0.77541696238467,0.966610617343262,0.6271331722901894,0.7607164799848765,0.9671861173482089,0.9703887545697301,7.41933012008667
NSL-KDD,XGBoost,10,100778,22544,0.7823811213626686,0.9677800070813172,0.6389776357827476,0.7697362245376889,0.9683008428505495,0.969811746120575,15.031330823898315
NSL-KDD,LightGBM,11,100778,22544,0.7792760823278921,0.9671780235462005,0.633756720953791,0.7657471047923924,0.9689773044588709,0.9719772783429258,18.99500274658203
NSL-KDD,XGBoost,11,100778,22544,0.7873491838183109,0.9682003494467094,0.6477051351983169,0.7761695769913157,0.9702642236903023,0.9722214949817087,19.56977343559265
NSL-KDD,LightGBM,12,100778,22544,0.7763928317955997,0.9668104481188593,0.6287695784306085,0.7619812078001794,0.9685759323431027,0.9714973163505618,12.63886022567749
NSL-KDD,XGBoost,12,100778,22544,0.7857966643009227,0.9679607109448082,0.6450557157328762,0.7741875146130466,0.9714324272255209,0.9730415965628797,12.18054461479187
