dataset,model,feature,mean_abs_shap,rank
NSL-KDD,LightGBM,src_bytes,6.084749704725559,1
NSL-KDD,LightGBM,count,2.3239020810371365,2
NSL-KDD,LightGBM,dst_bytes,2.0388292532710013,3
NSL-KDD,LightGBM,dst_host_srv_count,1.7229555961194007,4
NSL-KDD,LightGBM,service_http,1.0278103422965978,5
NSL-KDD,LightGBM,dst_host_rerror_rate,0.9043599503735198,6
NSL-KDD,LightGBM,dst_host_same_srv_rate,0.7891920517227768,7
NSL-KDD,LightGBM,diff_srv_rate,0.7707233304535538,8
NSL-KDD,LightGBM,same_srv_rate,0.6947663942089182,9
NSL-KDD,LightGBM,service_private,0.64548659728909,10
NSL-KDD,LightGBM,dst_host_same_src_port_rate,0.5655240149907196,11
NSL-KDD,LightGBM,dst_host_srv_serror_rate,0.5434201833295634,12
NSL-KDD,LightGBM,dst_host_diff_srv_rate,0.4538684966577664,13
NSL-KDD,LightGBM,logged_in,0.42481635477284674,14
NSL-KDD,LightGBM,dst_host_count,0.4116565196436321,15
NSL-KDD,LightGBM,service_ecr_i,0.3930326932440031,16
NSL-KDD,LightGBM,dst_host_serror_rate,0.3904000196995719,17
NSL-KDD,LightGBM,hot,0.35178124968781443,18
NSL-KDD,LightGBM,service_domain_u,0.3249653949654836,19
NSL-KDD,LightGBM,protocol_type_icmp,0.31173406169891726,20
UNSW-NB15,XGBoost,sttl,3.1939234733581543,1
UNSW-NB15,XGBoost,ct_dst_sport_ltm,0.6961444616317749,2
UNSW-NB15,XGBoost,service_dns,0.5949478149414062,3
UNSW-NB15,XGBoost,ct_state_ttl,0.588773787021637,4
UNSW-NB15,XGBoost,sbytes,0.5463525056838989,5
UNSW-NB15,XGBoost,smean,0.45995545387268066,6
UNSW-NB15,XGBoost,ct_srv_dst,0.36875849962234497,7
UNSW-NB15,XGBoost,ct_dst_src_ltm,0.23499374091625214,8
UNSW-NB15,XGBoost,ct_srv_src,0.22881992161273956,9
UNSW-NB15,XGBoost,dbytes,0.1871875822544098,10
UNSW-NB15,XGBoost,dload,0.16875632107257843,11
UNSW-NB15,XGBoost,proto_udp,0.163978710770607,12
UNSW-NB15,XGBoost,synack,0.1470063328742981,13
UNSW-NB15,XGBoost,dmean,0.11852952092885971,14
UNSW-NB15,XGBoost,sinpkt,0.11821848899126053,15
UNSW-NB15,XGBoost,sloss,0.11393409222364426,16
UNSW-NB15,XGBoost,rate,0.10883557796478271,17
UNSW-NB15,XGBoost,ct_dst_ltm,0.1059805303812027,18
UNSW-NB15,XGBoost,ct_src_ltm,0.10367578268051147,19
UNSW-NB15,XGBoost,proto_unas,0.0987146720290184,20
CICIDS2017,LightGBM,Fwd Packet Length Mean,2.8100339846112456,1
CICIDS2017,LightGBM,Destination Port,2.711244889552126,2
CICIDS2017,LightGBM,Total Length of Fwd Packets,1.3660226811465919,3
CICIDS2017,LightGBM,Init_Win_bytes_forward,0.873734875323721,4
CICIDS2017,LightGBM,Fwd Packet Length Max,0.7811365084651447,5
CICIDS2017,LightGBM,Init_Win_bytes_backward,0.5197692928087022,6
CICIDS2017,LightGBM,Source Port,0.4464706804996189,7
CICIDS2017,LightGBM,min_seg_size_forward,0.4171331710861469,8
CICIDS2017,LightGBM,Bwd Packet Length Mean,0.3712869851655996,9
CICIDS2017,LightGBM,Avg Fwd Segment Size,0.3486052145855658,10
CICIDS2017,LightGBM,Bwd Packet Length Min,0.23173957566237993,11
CICIDS2017,LightGBM,Bwd Packet Length Std,0.22684515529043994,12
CICIDS2017,LightGBM,Fwd IAT Min,0.2244117199835099,13
CICIDS2017,LightGBM,Bwd Packets/s,0.2198432514625335,14
CICIDS2017,LightGBM,Subflow Fwd Bytes,0.2027082826953522,15
CICIDS2017,LightGBM,Fwd Header Length,0.18158531522919805,16
CICIDS2017,LightGBM,Flow IAT Min,0.18025442814666848,17
CICIDS2017,LightGBM,Total Length of Bwd Packets,0.15592017664131905,18
CICIDS2017,LightGBM,PSH Flag Count,0.1557347332890563,19
CICIDS2017,LightGBM,Packet Length Mean,0.15253898928972634,20
